d,l,c
1,1,1
1,2,1
1,4,1
1,5,1
2,1,14
2,2,4
2,3,2
2,6,1
3,1,116
3,2,23
3,3,1
3,4,2
3,5,1
4,1,908
4,2,121
4,3,27
4,4,5
5,1,7382
5,2,817
5,3,138
5,4,21
5,5,4
5,6,1
6,1,62331
6,2,5593
6,3,860
6,4,97
6,5,22
6,6,3
7,1,537795
7,2,41997
7,3,5556
7,4,576
7,5,117
7,6,37
7,7,3
8,1,4729768
8,2,325146
8,3,37843
8,4,3366
8,5,626
8,6,107
8,7,17
8,8,2
8,9,1
9,1,42200360
9,2,2592743
9,3,267252
9,4,21595
9,5,3473
9,6,573
9,7,72
9,8,9
9,9,2
10,1,380944321
10,2,21128661
10,3,1962543
10,4,144600
10,5,21364
10,6,3024
10,7,425
10,8,36
10,9,3
11,1,3471455293
11,2,175553248
11,3,14829578
11,4,1007873
11,5,136329
11,6,17742
11,7,1997
11,8,224
11,9,16
11,10,2
